sample_id,data_type,treatment_type,uvb_dose,nir_power,irradiation_time,photothermal_temp,nanoparticle_size,photo_response_efficiency,drug_loading,targeting_efficiency,drug_release_efficiency,nfkb_inhibition,p65_expression,tnf_alpha,il17,plaque_reduction,skin_damage,burn_rate,ldh_release,pathology_score,efficacy_score
SAMPLE_001,NANO,0,50,0.0,0,0.0,100,0.7,8,0.8339073000818308,0.0,78.18050436763937,27.576603666763816,93.23607995452676,56.69862849070473,62.26416212041395,1.6147696543084056,0.24969370332504562,10.929429050097147,1.6550830475730716,55.85491266435965
SAMPLE_002,NANO,0,50,0.0,0,0.0,120,0.7,3,0.6873687420594126,0.0,81.10819494244578,27.71494756373208,58.76349385420998,57.62742270680556,64.1247965878614,1.0876962986647085,0.3089827974856129,10.531767426999213,1.7413873964547142,57.87565735238993
SAMPLE_003,EFFICACY,1,0,0.3,13,38.299746149894084,80,0.9,3,0.9414080082686398,51.0,51.28975928418656,51.99836193751439,101.62058072843526,73.88371465045364,45.66609459713394,1.9132446136024792,0.7617557010010907,8.353417381829253,2.5121693192813375,38.3996926298077
SAMPLE_004,PATHWAY,1,0,0.8,18,38.22166575317629,80,0.5,8,0.9105711936487496,48.0,47.02441436706066,57.09978565770421,104.70252269819446,84.97405864677332,51.94394632936355,0.36341676068244766,0.0,3.1332063013124882,2.042880579334468,39.5146609264332
SAMPLE_005,NANO,1,0,0.8,3,39.556580076640714,120,0.9,10,0.7689997955056358,56.0,49.946698378411334,58.22949700115565,99.61793359685369,77.84023401529979,42.15268505411424,1.4043690078629871,0.0,10.165192198442904,3.54419638149358,36.55887957143763
SAMPLE_006,NANO,1,0,0.8,3,39.920825762154706,120,0.8,3,0.8558245317068894,54.0,51.05736409334473,43.82625720689016,87.879286166595,69.58445573267886,54.69704756797783,3.556240028570823,1.6016124516697121,13.801194403888369,2.6572517154280773,41.59051665881486
SAMPLE_007,EFFICACY,0,30,0.0,0,0.0,60,0.7,8,0.7282623055075649,0.0,64.07654686872868,44.11667067570291,82.93337962661263,69.47284871730106,48.50808354823275,2.080328112162488,0.0,11.6216583064178,2.6424727373266057,44.61778654435208
SAMPLE_008,UVB,1,0,1.6,8,43.40808966200096,80,0.5,5,0.8583509391276058,56.0,59.428467480225116,49.88000678166727,93.71666147840659,83.43212308421812,56.53484695790923,2.0907114535554223,1.0521740380978015,8.64948590916405,1.7381051748240015,45.96718348454266
SAMPLE_009,PATHWAY,1,0,2.0,3,43.49335678036848,100,0.65,10,0.7610313805619435,63.0,60.367509284994824,45.53235941557886,83.93420723102113,54.97319521450602,62.539208224828826,2.484516659988221,0.7360795957406462,9.106540735984217,1.33677367154073,48.66578367193182
SAMPLE_010,EFFICACY,0,10,0.0,0,0.0,80,0.7,5,0.7233111039954694,0.0,38.653624622961395,66.91084266026796,110.54550202351372,87.14605924847717,50.359752210226446,3.1657937085493044,0.9460480375925048,16.03197480306072,1.9071161007414985,34.972191991565275
SAMPLE_011,EFFICACY,1,0,1.2,3,41.554597344713166,100,0.65,10,0.8175751586115095,55.0,55.967746904649374,47.54674596805869,99.15649041906666,79.57371200621999,53.72114545953063,1.102912936661697,0.7596255067925652,9.744995369634513,1.8382068516994485,43.654974358339665
